# Edit at your own risk. Consists of Location Data for GTASA Control Center
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA Control Center
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
36514EE7-AFDE-CE42-AE6E-F3BC93B2A9DF|GTA SA Locations\Photos|Photo 31|-2889.814000;-866.798300;6.406889;187.937100
C2834D37-342C-F245-8F12-D451AC2DE03F|GTA SA Locations\Photos|Photo 32|-2081.798000;-858.452000;66.875000;0.194371
199E7458-57A0-934B-968B-93051FC360B2|GTA SA Locations\Photos|Photo 33|-1954.681000;-804.086900;41.828130;358.889800
87D8ED89-7A8F-DF49-B9F6-E5F92ED0FFB4|GTA SA Locations\Photos|Photo 34|-982.996000;-370.196900;36.658060;334.753600
4C313137-4086-2E49-8F07-CE39ECDED2E6|GTA SA Locations\Photos|Photo 35|-1707.609000;3.520086;11.652240;335.940400
7C460CF7-0AF8-EC43-A71B-BC72E6C6DAB0|GTA SA Locations\Photos|Photo 36|-2080.406000;242.633700;105.889000;359.674000
1124D9AC-FAAF-7C48-9B67-75F4ADAFB4D9|GTA SA Locations\Photos|Photo 37|-2388.538000;315.251700;35.171880;62.325630
EA4ACB37-A1B8-9145-BF6C-9AA2183B0F84|GTA SA Locations\Photos|Photo 38|-2278.168000;731.353500;49.445310;271.676600
3CA0334C-E069-5B4A-89EA-68B5F848D3F2|GTA SA Locations\Photos|Photo 39|-2494.911000;385.731200;35.114410;242.148700
486611B9-C110-0A4D-A78B-24312A7E1589|GTA SA Locations\Photos|Photo 40|-1144.728000;-134.407900;14.143970;228.395900
FAB290FF-8196-D844-B90B-27AE6F937FA1|GTA SA Locations\Photos|Photo 41|-1246.019000;22.973530;32.887200;44.269730
E2046174-B440-344F-AB95-29673387F974|GTA SA Locations\Photos|Photo 42|-2472.238000;32.206360;30.477630;277.997900
CBE70316-62DE-AA41-94AD-6E33216ED28B|GTA SA Locations\Photos|Photo 43|-2597.915000;143.777400;4.335938;339.534600
2AE468D3-EAC5-EB43-A7E5-D85A5A907BE9|GTA SA Locations\Photos|Photo 44|-2621.131000;-11.184700;6.132813;264.464000
658036B7-7DEA-D442-9BEB-5873E4E90A50|GTA SA Locations\Photos|Photo 45|-2619.149000;25.068640;4.335938;136.198500
4F622674-8F1E-484A-B217-B93E1E59132B|GTA SA Locations\Photos|Photo 46|-2611.786000;31.045140;4.328125;323.149800
5CF36CDE-8E18-9F45-A0D3-27F68E511DAE|GTA SA Locations\Photos|Photo 47|-1641.642000;1309.595000;7.177832;324.873800
6B9FCDEB-ADAF-3242-8B62-F2281C93A231|GTA SA Locations\Photos|Photo 48|-2324.356000;190.040100;35.312500;314.550700
4F7B3FCD-7397-894E-9702-4467C0DE44E7|GTA SA Locations\Photos|Photo 49|-2343.571000;-62.345270;35.320310;182.114900
712A1FBA-4BE1-294B-9872-E5F4F146D6D1|GTA SA Locations\Photos|Photo 50|-1926.294000;486.363600;35.171880;328.612500
2E5FC282-8C3B-904C-8DD6-DEE968CE06CD|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 01|-2281.338000;-1724.779000;471.179900;185.097700
A7B5393D-867C-C340-8B36-08516497A61C|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 02|-2349.719000;-1816.851000;433.311200;81.778760
D2FD31D7-7BE4-4E43-889D-CDCA7455A9EE|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 03|-2441.368000;-1721.353000;432.881000;81.187870
D723953D-6C0B-A94B-9F43-C813EC190658|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 04|-2442.562000;-1809.486000;410.368900;96.670060
AC2753A2-C463-604D-933E-C0498CC3B976|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 05|-2525.004000;-1717.872000;402.538400;21.363940
43E44787-8130-464C-A7E3-2C1F6E1D4378|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 06|-2553.333000;-1667.668000;399.539200;150.853000
EC6388C9-D22B-E546-B90D-81089115EA27|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 07|-2531.503000;-1801.761000;376.187000;91.858060
A2FABB96-14C9-CA45-8CA9-86D39C0E1759|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 08|-2594.211000;-1630.080000;344.081400;163.493000
C6832612-ABC7-D842-84EF-27D6DEB8E742|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 09|-2526.770000;-1889.547000;293.724700;51.499100
181C55FA-C233-9046-A528-F12F892381C6|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 10|-2651.048000;-1734.355000;257.738800;165.179400
9D0F0B83-66DF-C247-A0DD-08715D6BE0E1|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 11|-2494.189000;-2027.757000;154.318100;208.069600
6AF4FE71-6F77-5B4E-A440-6CBB5992974E|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 12|-2435.990000;-2085.017000;124.354600;248.471300
2CF772E4-5ADD-8D47-8D69-62053D7E8E13|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 13|-2329.269000;-2099.438000;114.604900;284.840100
CE2D70F8-9258-6D43-B56A-26CD3163EAAC|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 14|-2224.822000;-2051.181000;120.024600;317.755800
8AD54BBC-6FEB-C94B-9319-E702CC86E9FA|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 15|-2176.968000;-2000.389000;119.224500;311.658500
D8C4F97D-14E2-3C4A-B6D6-75C42CDA72C6|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 16|-2100.245000;-1895.207000;109.638800;164.967000
1C07BFB3-E0EF-F64D-B26B-6AE3E360C32A|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 17|-2158.775000;-2034.395000;92.838620;148.998800
6FAA8745-38A9-CE4E-9B8E-6DB3571D8F2F|GTA SA Locations\Race Helper\Chiliad Challenge 1: Scotch Bonnet Yellow Run|Checkpoint 18|-2366.907000;-2192.824000;33.620590;115.205800
A1F8DA82-8A0C-B649-8FA2-03CF511D363A|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 01|-2280.943000;-1725.295000;470.958300;189.433700
89FA341B-DE8A-1941-BFB9-B3D71F2F2312|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 02|-2348.786000;-1816.394000;433.443400;78.698210
ED4E621A-5847-4B47-B690-18E34E876CD3|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 03|-2457.660000;-1728.115000;429.008300;160.142800
ED09A140-C25E-D449-9A90-E0C2A0663A2B|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 04|-2454.460000;-1808.947000;408.864400;67.229000
89198735-8E88-0E4C-B523-77D81C4BFAD3|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 05|-2520.580000;-1714.485000;402.353300;5.396469
B7D93952-9650-FE4B-ACAF-F0C10715DE92|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 06|-2473.955000;-1474.017000;390.733400;293.486300
E5528C75-634A-5F4F-9027-91244E0C0DA8|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 07|-2331.030000;-1452.405000;382.466400;245.400500
51D88877-1344-1641-BC47-42A27CBD55F3|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 08|-2256.017000;-1488.467000;378.916100;212.144000
0146EFA8-BE31-9C49-BD8D-19F804C89678|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 09|-2195.039000;-1715.866000;376.738100;341.748600
1CF771B3-3BFE-0547-9041-6CBDF6675BE6|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 10|-2204.398000;-1535.092000;361.046700;19.445750
D2620BC9-6448-2A4A-8023-3AA151D1672F|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 11|-2274.646000;-1431.205000;356.266000;57.132030
7082F214-5723-3F42-B732-6E48D51508DD|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 12|-2410.940000;-1392.585000;359.373700;92.065880
E552E84E-9841-6F47-86E3-792E9D91FF60|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 13|-2572.930000;-1467.703000;359.018700;329.013900
BCD5B8AF-628A-814F-A01C-C35D0277FF94|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 14|-2445.269000;-1372.957000;339.045000;303.669400
4B807D50-24AD-4547-B278-D556D36E267F|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 15|-2350.629000;-1286.983000;308.321700;91.867210
F4C030B9-E673-644D-81AB-A32F6D6B04FF|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 16|-2502.829000;-1273.215000;274.302100;110.037000
929FD460-89FA-7C4B-9E46-E30008BCED7E|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 17|-2588.697000;-1359.173000;265.861300;95.744030
60503D54-3840-3047-A46C-5A28F2E280B5|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 18|-2672.737000;-1384.517000;254.244000;353.409100
F9E34D34-C643-0545-A9B9-7D6291AC28E9|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 19|-2612.558000;-1286.733000;221.442700;317.667400
AA736C68-38B3-1E4C-8F37-1E9CF7B1FA6A|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 20|-2532.082000;-1116.489000;177.008000;134.881500
283C5A90-EC8A-0545-A292-BBC38120F344|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 21|-2629.318000;-1164.749000;168.714000;129.053300
42B07AA8-A911-6143-BD72-A026CFCD28C4|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 22|-2745.989000;-1372.436000;144.712900;163.302700
B45568DE-67E6-0F47-A5BA-B5532F576714|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 23|-2772.130000;-1663.939000;141.607600;169.948300
0CFCE9B1-A8E7-9946-BEFD-61834D48B71B|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 24|-2741.107000;-1873.568000;140.630300;256.695500
1734BCD4-733C-B349-87E7-76E347885059|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 25|-2622.871000;-2062.613000;130.119800;198.745300
5654F6D9-95FD-1F46-87DA-3AFF28D55A01|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 26|-2445.007000;-2086.315000;124.997600;254.756700
0F024EBD-E03D-6146-B723-BF90CEBB520D|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 27|-2345.320000;-2102.409000;113.240800;273.469500
1457983C-33E6-0D49-8C5A-A233D0A1544C|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 28|-2100.505000;-1891.650000;110.276800;166.276400
CED64D05-3DF6-9640-9A9D-405EE73E31FC|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 29|-2153.431000;-2025.241000;93.665390;150.979900
851DDA13-E346-3E46-B7B1-64DBB0CFF93C|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 30|-2231.174000;-2113.851000;69.606860;132.552100
1354AC67-0268-FA4C-A20F-C4ED0394D0D2|GTA SA Locations\Race Helper\Chiliad Challenge 2: Birdseye Winder|Checkpoint 31|-2366.563000;-2192.364000;33.624040;113.847100
0F249D53-7C40-5646-B56D-7A6DD0A813FA|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 01|-2348.234000;-1940.668000;298.657000;265.597100
CCB3C058-4835-9D4B-907B-0D0168411218|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 02|-2290.418000;-1940.374000;272.859600;281.652500
5D6343F3-D21E-5A47-A357-3DB17EDFE0E1|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 03|-2239.594000;-1928.415000;245.566000;297.200800
01F15F79-06B5-754E-A1B9-D5804FF8EB40|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 04|-2207.690000;-1914.553000;240.767300;277.077800
3C39109F-64A9-2141-ABFA-DC7114BFD7AF|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 05|-2176.505000;-1906.513000;234.828100;314.534800
AAE5F8C4-370A-2E42-B990-BB3F510E0C3A|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 06|-2169.250000;-1888.305000;232.993400;10.399280
C32047BC-53E0-074D-B757-8DDE53A109E2|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 07|-2171.769000;-1863.528000;223.272700;359.388000
58721BD4-B90E-9E43-B332-C16913FD1AFF|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 08|-2172.437000;-1846.384000;219.738900;2.917805
1E992197-6C5E-874B-927B-E253486582D0|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 09|-2151.099000;-1794.330000;211.270400;296.020600
4B6723C2-F8DB-B941-9F44-432BED5474B5|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 10|-2131.208000;-1777.562000;208.733500;303.362000
AC704FD0-23BE-804E-856D-9E3FD18D012A|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 11|-2109.679000;-1756.738000;196.885100;326.112200
A06FACF8-84AE-E74E-B9DE-1F3EEE222526|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 12|-2072.937000;-1654.483000;176.649100;350.269900
D809CDA4-E10C-CB44-B949-EC11F265891A|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 13|-2053.155000;-1572.761000;139.535500;291.824000
DA8F18A2-ED5F-5C42-A10D-3F217C6E7D71|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 14|-2039.598000;-1513.983000;125.359400;24.665340
A4B2CF41-A626-6C49-92FB-78F08C78D8C5|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 15|-2038.027000;-1435.341000;96.451420;224.794800
14821B93-D4B6-3845-9228-58E39C6D8658|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 16|-1992.227000;-1593.165000;87.682290;186.475500
57FA5DCF-B4B0-8743-AE60-3EF915F42A67|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 17|-2025.443000;-1783.676000;96.106730;163.981500
579711C5-8933-1E48-8703-E5E4584BBA38|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 18|-2097.614000;-1883.406000;110.650300;165.271000
BD153792-5128-8540-A26A-F8A358D1F5B0|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 19|-2116.459000;-1943.159000;100.724600;165.903900
4D5C1F8A-D68C-F947-9B4E-F38690FD1FBD|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 20|-2228.850000;-2111.542000;70.560490;130.256800
B3AAD0C0-F1AB-C84C-B8C7-648CBF79CAF3|GTA SA Locations\Race Helper\Chiliad Challenge 3: Cobra Run|Checkpoint 21|-2367.015000;-2192.736000;33.621100;115.560900
B3167DFE-F4E0-534B-B3B9-AE1C14915EF9|GTA SA Locations\Safehouses\Countryside|Angel Pine 1|-2038.517;-2530.141;30.228;90
989F687B-6214-3942-A1D1-52E62D9A08FC|GTA SA Locations\Safehouses\Countryside|Angel Pine 2|-2074.844;-2302.031;30.226;90
BCD3913A-281F-AA43-A887-720626F875DF|GTA SA Locations\Safehouses\Countryside|Blueberry|225.532;-117.209;1.187;181.998
00BE18C2-F282-AE4B-BA59-1E2553F8BA7F|GTA SA Locations\Safehouses\Countryside|Dillimore|785.878;-513.586;16.257;178.630
0563027B-D345-404F-B33C-63CBB10649A5|GTA SA Locations\Safehouses\Countryside|Fern Ridge|880.188;-35.172;63.248;90
570A0A30-5FE3-674D-B726-E5162DDE1A2B|GTA SA Locations\Safehouses\Countryside|Palomino Creek|2231.993;159.883;26.744;181.753
9B29A637-2F7C-8043-A8B8-BD99FBF814A0|GTA SA Locations\Safehouses\Countryside|Whetstone|-1443.066;-1533.754;101.758;0
8F58F09F-BF02-1C4C-90AD-14A17650AEBA|GTA SA Locations\Safehouses\Desert|El Quebrados|-1536.981;2640.041;55.528;0
30D8A4A5-CAC6-9548-A8AF-F10FDD184BCB|GTA SA Locations\Safehouses\Desert|Fort Carson|-360.301;1165.025;19.370;229.963
8B1AFD19-6F96-8742-B88D-BEF08B029FAD|GTA SA Locations\Safehouses\Desert|Tierra Robada 1|-704.043;961.750;12.007;90
7E480F87-1DB6-FE4A-ABF5-9FAD5330F1A4|GTA SA Locations\Safehouses\Desert|Tierra Robada 2|-1044.490;1543.261;32.684;311.233
A620CCD9-C59E-FD40-9983-3366092040B3|GTA SA Locations\Safehouses\Desert|Verdant Meadows|425.823;2521.110;16.094;88.879
FE999DBE-40DB-8946-9340-AF5108C14117|GTA SA Locations\Safehouses\Las Venturas|Camel's Toe|2234.381;1285.571;10.509;0
1F9B090A-7AB4-9E47-A023-D0D999C8383A|GTA SA Locations\Safehouses\Las Venturas|Clown's Pocket|2219.460;1837.730;10.820;2.715
E5F91C80-7CEA-5948-9A18-06B395D71942|GTA SA Locations\Safehouses\Las Venturas|Creek|2816.201;2155.880;10.426;359.997
17D83DB5-ACE8-E445-B7DC-84E4CCA1AA48|GTA SA Locations\Safehouses\Las Venturas|Four Dragons Casino|2034.918;1002.826;10.419;90
9E2AF614-3E6C-9C44-98EB-27C0B4D10B60|GTA SA Locations\Safehouses\Las Venturas|Old Venturas Strip|2368.445;2162.211;10.825;136.643
9F763AA8-3C6C-DD49-ADF4-44AD24F546D5|GTA SA Locations\Safehouses\Las Venturas|Prickle Pine|1290.155;2532.631;10.281;359.926
60E34094-30A3-6D47-BF42-9B05242402CC|GTA SA Locations\Safehouses\Las Venturas|Redsands West|1399.878;1903.433;11.017;90
F9674D85-9BC9-E046-81EB-9B95B992BEFC|GTA SA Locations\Safehouses\Las Venturas|Rockshore West|2442.506;698.107;11.171;90
D496EB18-EBDF-B74B-B1C8-B3AD8DE7C372|GTA SA Locations\Safehouses\Las Venturas|The Pirates in Men's Pants|2039.840;1623.566;10.358;180
532AABE3-D8E4-0947-9E06-1F8A287A9243|GTA SA Locations\Safehouses\Las Venturas|Whitewood Estates|922.398;2012.875;11.150;90
F4A53CE8-D0F5-ED4C-855A-7BF0E1A3DD0C|GTA SA Locations\Safehouses\Los Santos|Ganton (Johnson House)|2499.978;-1679.716;13.256;90
BC8F477B-9AC0-5C43-9367-5A9CE8015C16|GTA SA Locations\Safehouses\Los Santos|Jefferson|2102.820;-1287.684;24.093;180.137
6B419BD0-637F-BF4B-B112-7AEB42565B20|GTA SA Locations\Safehouses\Los Santos|Mulholland 1|1246.353;-780.166;90.397;175.721
F9B6E6D5-2AEB-0343-870F-6CF2BB42CB4B|GTA SA Locations\Safehouses\Los Santos|Mulholland 2|1339.439;-623.463;109.027;90
857B1B6E-8155-994F-92BC-BEC4D8C0BDDD|GTA SA Locations\Safehouses\Los Santos|Santa Maria Beach|318.927;-1775.797;4.672;90
F8C26450-F8C3-9C41-ADCF-23E3937B901D|GTA SA Locations\Safehouses\Los Santos|Verdant Bluffs (El Corona)|1687.503;-2106.201;13.439;90
CB96E3AB-B9B9-204A-A013-E47FE5328168|GTA SA Locations\Safehouses\Los Santos|Verona Beach|903.214;-1658.882;13.145;90
79F38E7F-29A5-C949-A605-9645A0CD2C5D|GTA SA Locations\Safehouses\Los Santos|Willowfield|2484.511;-2007.674;12.914;90
B6588673-9740-6B4C-8E2B-0BCAE7148CBE|GTA SA Locations\Safehouses\San Fierro|Calton Heights|-2105.438;901.622;76.130;11.035
2ECA972B-9911-C340-ADBB-D013743A3B99|GTA SA Locations\Safehouses\San Fierro|Chinatown|-2219.593;728.326;48.863;90
D7A0A3F4-5E0C-5B40-9CD4-6285001D3F7A|GTA SA Locations\Safehouses\San Fierro|Doherty (Driving School)|-2018.963;-52.938;34.940;269.545
41D9FA5D-46AD-414B-82CB-742B32E05378|GTA SA Locations\Safehouses\San Fierro|Doherty (Garage)|-2025.076;142.036;28.728;90
9204B389-F5F3-FC4B-8386-D88ED63CAF03|GTA SA Locations\Safehouses\San Fierro|Hashbury|-2460.498;-126.027;25.495;90
644D2FD2-9C21-404A-A1BD-6D225419FB84|GTA SA Locations\Safehouses\San Fierro|Paradiso|-2698.276;814.445;49.721;90
7DF4CF2A-EFCA-1041-AF2E-8DD5B8798C45|GTA SA Locations\Safehouses\San Fierro|Queens|-2413.314;330.866;34.661;146.624
3E74FFBA-E186-404A-90EB-90DB55BDBD7E|GTA SA Locations\Tags|Tag 001 (Done by Storyline)|2100.638;-1649.044;13.453;277.929
BBFD664E-E8E1-2843-98F5-834306FA7717|GTA SA Locations\Tags|Tag 002 (Done by Storyline)|2067.800;-1653.841;13.547;91.181
D169AA56-5A91-F24F-8414-7FB54C5A422A|GTA SA Locations\Tags|Tag 003 (Done by Storyline)|2044.746;-1636.393;13.547;272.869
E4C5637F-46F3-3A4B-81FA-0ACBE3C58357|GTA SA Locations\Tags|Tag 004 (Done by Storyline)|2352.364;-1508.318;24.000;271.733
1C0F7959-14E5-164A-94E5-B89F64F41E92|GTA SA Locations\Tags|Tag 005 (Done by Storyline)|2394.179;-1471.674;23.922;0.337
2E600BC3-FFF5-E344-A8C7-30805CEFBC89|GTA SA Locations\Tags|Tag 006 (Done by Storyline)|2399.490;-1551.684;28.000;180.818
6DB26D68-BB54-414C-9FC5-4DE20E024E4C|GTA SA Locations\Tags|Tag 007|2421.745;-1682.660;13.794;266.093
04894CD1-D713-D940-A52A-7F267B79EE64|GTA SA Locations\Tags|Tag 008|2272.954;-1689.444;13.652;0
B991B62A-F8E8-5842-8719-981545EC8239|GTA SA Locations\Tags|Tag 009|2072.618;-1579.047;13.457;270
52E6172F-BDF1-664F-AF94-2B0A1EEBE943|GTA SA Locations\Tags|Tag 010|1958.385;-1576.321;13.585;225
2DD61083-4CDC-7343-82D2-B28D67832403|GTA SA Locations\Tags|Tag 011|1767.411;-1617.243;14.471;160.498
1C3A424E-DA2E-7149-992B-7C39FCD83878|GTA SA Locations\Tags|Tag 012|1836.122;-1640.308;13.361;270
3BE6693A-CB26-5C41-9F96-B98FF348B8A5|GTA SA Locations\Tags|Tag 013|1800.811;-1708.467;13.534;90
6D57579B-763F-EC4B-8042-8A33131BD8E6|GTA SA Locations\Tags|Tag 014|1724.732;-1739.473;13.547;180
BF7815F2-56AB-DA46-B081-FD2115D3944D|GTA SA Locations\Tags|Tag 015|1837.716;-1813.015;3.984;163.632
0D474F69-1C6B-1149-814A-47992E18B43E|GTA SA Locations\Tags|Tag 016|1909.934;-1778.047;17.976;180
A683526A-7124-1944-A2D6-1AEA5433F3D2|GTA SA Locations\Tags|Tag 017|2034.417;-1803.195;13.547;4.480
10AA5A60-E333-1047-A66A-25DC0DBF8C6D|GTA SA Locations\Tags|Tag 018|2162.814;-1788.723;13.517;359.154
458F1894-3E9E-1A4D-8780-ADABF8693456|GTA SA Locations\Tags|Tag 019|2065.419;-1899.307;13.554;0
C8CD7BD3-4D7D-F549-803C-C2E4AFE6CC56|GTA SA Locations\Tags|Tag 020|1849.993;-1878.049;13.515;0
8823746B-CE2D-9E4B-893B-3EB6B98FA1C8|GTA SA Locations\Tags|Tag 021|1887.603;-1982.708;13.547;273.543
FA4BD16D-30E3-D541-8EB3-6A6FFFD3043E|GTA SA Locations\Tags|Tag 022|1951.875;-2034.381;13.546;90
F24E1367-FE4F-074A-BDB0-DB86439A7E74|GTA SA Locations\Tags|Tag 023|1809.700;-2092.254;13.546;90
0AC26DE9-CA3F-B44A-B4E5-10D6069D7EA5|GTA SA Locations\Tags|Tag 024|1784.004;-2158.092;13.546;0
2A751C29-A126-484B-ACC6-372A0FFCA440|GTA SA Locations\Tags|Tag 025|1936.818;-2137.243;13.702;0
B8CE5EC5-60A0-8C4C-8369-B077E06874C0|GTA SA Locations\Tags|Tag 026|2174.626;-2166.029;13.546;45
5F878270-D9E1-334D-9FCD-EF9E3818C58F|GTA SA Locations\Tags|Tag 027|2135.385;-2013.690;8.222;48.442
5C081584-1D4D-A049-A465-E405156058ED|GTA SA Locations\Tags|Tag 028|2275.255;-2267.073;13.547;46.875
837E44DB-8967-9543-8C12-5838AB47AFC6|GTA SA Locations\Tags|Tag 029|2378.639;-2167.094;24.305;315
7A3C6C73-9B1A-564F-876D-F6B4476347DE|GTA SA Locations\Tags|Tag 030|2274.604;-2529.159;8.290;90
8C0372F3-6159-CF4F-88B7-2A9A5F1B1B02|GTA SA Locations\Tags|Tag 031|1572.839;-2693.122;13.549;270
E756487C-A1E5-EB4B-9E3A-7480E484E79F|GTA SA Locations\Tags|Tag 032|1624.391;-2298.980;13.542;0
5FB7E547-BE97-844A-858C-2E5F8B4BBB9E|GTA SA Locations\Tags|Tag 033|1119.716;-2010.043;74.429;45
89720227-0086-014C-91D7-38A5E96ADA2F|GTA SA Locations\Tags|Tag 034|1069.711;-1864.918;13.547;270
54F733CF-DB7F-164F-9907-42AB89167466|GTA SA Locations\Tags|Tag 035|811.464;-1796.570;13.023;135
027F3592-0F0C-7B45-8DAF-F626BAE70DD3|GTA SA Locations\Tags|Tag 036|482.468;-1763.293;5.539;0
8DF433A8-CA09-6B43-BA0C-66678306214B|GTA SA Locations\Tags|Tag 037|400.404;-2067.188;10.747;90
E1352CFA-F17A-3341-B0A2-195CAAB212F1|GTA SA Locations\Tags|Tag 038|584.783;-1502.197;15.294;90
95854768-7F61-384A-8BA1-15FEA0853580|GTA SA Locations\Tags|Tag 039|730.360;-1484.720;1.969;0
7386996F-A311-174E-ADD0-C3720E912388|GTA SA Locations\Tags|Tag 040|949.711;-1466.711;17.148;90
2DDD70DD-185D-A043-8361-410E74AC64FE|GTA SA Locations\Tags|Tag 041|466.382;-1285.899;15.421;340
9F9A01BD-B41F-7B4F-8BF6-8FF41B80EB0B|GTA SA Locations\Tags|Tag 042|944.097;-984.563;38.700;190.832
05B23149-2495-714B-8CC4-52C8C60D4D31|GTA SA Locations\Tags|Tag 043|1074.157;-1013.039;34.836;90
